location,listing_title,price,date_created,agent_name,internal_features,external_features,nearby,link
 Westlands Area,4 Bed Townhouse with En Suite in Westlands Area,40000000.0,2023-07-04,Origin Homes,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","BBQ, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden","Bus Stop, Shopping Centre, Golf Course, Scenic View, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3612765
 Redhill,4 Bed Townhouse with En Suite in Redhill,40000000.0,2023-07-07,Edlon Group Limited,En Suite,"Electric Fence, Garden, Parking",Scenic View,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-red-hill-4-3460895
 Bamburi Mwisho,4 Bed House with Walk In Closet at Bamburi Mwisho,15000000.0,2023-07-04,Abdul Kalume Realtors,"Furnished, Walk In Closet","Balcony, Parking, Staff Quarters","Bus Stop, Hospital, School, Golf Course, Scenic View",https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-sale-bamburi-1-3482311
 Olive Place Townhomes,4 Bed Townhouse with En Suite at Olive Place Townhomes,12500000.0,2023-06-30,Olive Place,"En Suite, Service Charge Included, Walk In Closet, Fibre Internet","Balcony, CCTV, Electric Fence, Borehole, Parking","School, Hospital, Bus Stop, Shopping Centre, Scenic View",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-gikambura-1-3578132
 Nanyuki,6 Bed Villa with Swimming Pool at Nanyuki,60000000.0,2023-05-24,Precious Wanjiru,"Balcony, Gym, Parking, Swimming Pool, Garden, Borehole","Scenic View, Golf Course",nan,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-nanyuki-3601569
 Kwembe Street,3 Bed House with Garden at Kwembe Street,14500000.0,2023-06-08,Anna Carol Nyokabi Waweru,Alarm,"CCTV, Garden, Parking, Staff Quarters","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kajiado-3605432
 Kigwaru Drive,4 Bed Villa with En Suite at Kigwaru Drive,45000000.0,2023-07-04,George Irungu,"Alarm, En Suite, Fibre Internet, Furnished, Walk In Closet","Balcony, BBQ, CCTV, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access","Scenic View, Shopping Centre, School, Golf Course, Bus Stop, Hospital",https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-sale-ruaka-3611765
 Kiambu Road,4 Bed House with En Suite in Kiambu Road,85000000.0,2023-07-09,Intime Homes Consultancy,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Staff Quarters, Parking, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3554344
 Gigiri,5 Bed House with En Suite in Gigiri,,2023-07-08,Zyve,"Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV,  Electric Fence, Garden, Staff Quarters, Parking","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-gigiri-12-3573824
 Bustani Villas - Mombasa Road,3 Bed Townhouse with En Suite at Bustani Villas - Mombasa Road,12000000.0,2023-07-08,Zyve,"En Suite, Fibre Internet, Service Charge Included, Walk In Closet","Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters","Shopping Centre, Bus Stop, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-mombasa-road-11-3590812
 Wanyee Road,3 Bed Townhouse with En Suite at Wanyee Road,14500000.0,2023-07-09,Ace Realtors Limited,"Aircon, Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet","Borehole, Wheelchair Access, Electric Fence, CCTV, Parking, BBQ, Balcony","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-dagoretti-corner-3611995
 South C.,3 Bed Townhouse with En Suite at South C.,16500000.0,2023-07-09,Ace Realtors Limited,"Aircon, Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet","Balcony, BBQ, Parking, CCTV, Electric Fence, Wheelchair Access","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-south-c-3610564
 South C.,3 Bed Townhouse with En Suite at South C.,16500000.0,2023-07-09,Ace Realtors Limited,"Aircon, Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet","Balcony, BBQ, Parking, CCTV, Electric Fence, Wheelchair Access","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-south-c-3611998
 Ring Road,5 Bed Villa with En Suite at Ring Road,45000000.0,2023-06-20,Dev Kariaa,"Aircon, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters","Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-kisumu-3608810
