listing_title,price,land_area,bedrooms,bathrooms,agent_name,date_created,internal_features,external_features,nearby,link
4 Bed Townhouse with En Suite in Westlands Area,"
KSh 40,000,000
",," 4
"," 4
",Origin Homes,04/07/2023,"
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Walk In Closet
","
BBQ
,
Parking
,
Staff Quarters
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
","
Bus Stop
,
Shopping Centre
,
Golf Course
,
Scenic View
,
Hospital
,
School
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3612765
4 Bed Townhouse with En Suite in Redhill,"
KSh 40,000,000
",," 4
"," 5
",Edlon Group Limited,07/07/2023,"
En Suite
","
Electric Fence
,
Garden
,
Parking
","
Scenic View
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-red-hill-4-3460895
4 Bed House with Walk In Closet at Bamburi Mwisho,"
KSh 15,000,000
",," 4
"," 5
",Abdul Kalume Realtors,04/07/2023,"
Furnished
,
Walk In Closet
","
Balcony
,
Parking
,
Staff Quarters
","
Bus Stop
,
Hospital
,
School
,
Golf Course
,
Scenic View
",https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-sale-bamburi-1-3482311
4 Bed Townhouse with En Suite at Olive Place Townhomes,"
KSh 12,500,000
",," 4
"," 3
",Olive Place,30/06/2023,"
En Suite
,
Service Charge Included
,
Walk In Closet
,
Fibre Internet
 ","
Balcony
,
CCTV
,
Electric Fence
,
Borehole
,
Parking
","
School
,
Hospital
,
Bus Stop
,
Shopping Centre
,
Scenic View
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-gikambura-1-3578132
6 Bed Villa with Swimming Pool at Nanyuki,"
KSh 60,000,000
","
"," 6
"," 6
",Precious Wanjiru,24/05/2023,"
Balcony
,
Gym
,
Parking
,
Swimming Pool
,
Garden
,
Borehole
","
Scenic View
,
Golf Course
",,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-nanyuki-3601569
3 Bed House with Garden at Kwembe Street,"
KSh 14,500,000
","
"," 3
"," 3
",Anna Carol Nyokabi Waweru,08/06/2023,"
Alarm
","
CCTV
,
Garden
,
Parking
,
Staff Quarters
","
Bus Stop
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kajiado-3605432
4 Bed Villa with En Suite at Kigwaru Drive,"
KSh 45,000,000
","
"," 4
"," 5
",George Irungu,04/07/2023,"
Alarm
,
En Suite
,
Fibre Internet
,
Furnished
,
Walk In Closet
","
Balcony
,
BBQ
,
CCTV
,
Borehole
,
Garden
,
Gym
,
Parking
,
Staff Quarters
,
Wheelchair Access
","
Scenic View
,
Shopping Centre
,
School
,
Golf Course
,
Bus Stop
,
Hospital
",https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-sale-ruaka-3611765
4 Bed House with En Suite in Kiambu Road,"
KSh 85,000,000
",," 4
"," 4
",Intime Homes Consultancy,09/07/2023,"
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Walk In Closet
,
Service Charge Included
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Wheelchair Access
,
Staff Quarters
,
Parking
,
Gym
","
Bus Stop
,
Golf Course
,
Hospital
,
Scenic View
,
School
,
Sea View
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3554344
5 Bed House with En Suite in Gigiri,"
Price not communicated
",," 5
"," 4
",Zyve,08/07/2023,"
Alarm
,
En Suite
,
Fibre Internet
,
Walk In Closet
","
Balcony
,
BBQ
,
CCTV
,
 Electric Fence
,
Garden
,
Staff Quarters
,
Parking
","
Bus Stop
,
Golf Course
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-gigiri-12-3573824
3 Bed Townhouse with En Suite at Bustani Villas - Mombasa Road,"
KSh 12,000,000
",," 3
"," 3
",Zyve,08/07/2023,"
En Suite
,
Fibre Internet
,
Service Charge Included
,
Walk In Closet
","
Balcony
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Parking
,
Staff Quarters
","
Shopping Centre
,
Bus Stop
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-mombasa-road-11-3590812
3 Bed Townhouse with En Suite at Wanyee Road,"
KSh 14,500,000
 ","
"," 3
"," 3
",Ace Realtors Limited,09/07/2023,"
Aircon
,
Alarm
,
Service Charge Included
,
Walk In Closet
,
En Suite
,
Fibre Internet
","
Borehole
,
Wheelchair Access
,
Electric Fence
,
CCTV
,
Parking
,
BBQ
,
Balcony
","
Bus Stop
,
Shopping Centre
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-dagoretti-corner-3611995
3 Bed Townhouse with En Suite at South C.,"
KSh 16,500,000
","
"," 3
"," 3
",Ace Realtors Limited,09/07/2023,"
Aircon
,
Alarm
,
Service Charge Included
,
Walk In Closet
,
En Suite
,
Fibre Internet
","
Balcony
,
BBQ
,
Parking
,
CCTV
,
Electric Fence
,
Wheelchair Access
","
Bus Stop
,
Shopping Centre
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-south-c-3610564
3 Bed Townhouse with En Suite at South C.,"
KSh 16,500,000
","
"," 3
"," 3
",Ace Realtors Limited,09/07/2023,"
Aircon
,
Alarm
,
Service Charge Included
,
Walk In Closet
,
En Suite
,
Fibre Internet
","
Balcony
,
BBQ
,
Parking
,
CCTV
,
Electric Fence
,
Wheelchair Access
","
Bus Stop
,
Shopping Centre
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-south-c-3611998
5 Bed Villa with En Suite at Ring Road,"
KSh 45,000,000
","
"," 5
"," 6
",Dev Kariaa,20/06/2023,"
Aircon
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Walk In Closet
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Garden
,
Parking
,
Staff Quarters
","
Golf Course
,
Hospital
,
Scenic View
,
School
,
Sea View
,
Shopping Centre
",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-kisumu-3608810
1 Bed House with En Suite at Denis Prit Road.,"
KSh 6,800,000
","
"," 1
"," 1
",Ace Realtors Limited,09/07/2023,"
Aircon
,
Alarm
,
Service Charge Included
,
Backup Generator
,
Walk In Closet
,
En Suite
 ,
Fibre Internet
","
Balcony
,
Gym
,
BBQ
,
Parking
,
CCTV
,
Electric Fence
,
 Wheelchair Access
,
Borehole
","
Bus Stop
,
Shopping Centre
,
Hospital
,
School
,
Scenic View
",https://www.buyrentkenya.com/listings/1-bedroom-house-for-sale-kilimani-3611968
1 Bed House with En Suite at Malindi.,"
KSh 4,450,000
","
"," 1
"," 1
",Ace Realtors Limited,09/07/2023,"
Aircon
 ,
Alarm
,
Service Charge Included
,
Walk In Closet
,
En Suite
,
Fibre Internet
","
Balcony
,
BBQ
,
 Parking
,
CCTV
,
Electric Fence
,
Swimming Pool
,
Wheelchair Access
","
Bus Stop
,
Shopping Centre
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/1-bedroom-house-for-sale-malindi-3611932
3 Bed House with En Suite at Mtwapa Weigh Bridge,"
KSh 7,500,000
","
"," 3
"," 2
",BLISS HOMES,06/07/2023,"
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Walk In Closet
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
 ,
Borehole
,
Garden
,
Parking
,
Swimming Pool
,
Wheelchair Access
","
Bus Stop
,
Hospital
,
 Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-mtwapa-3608197
3 Bed House with Swimming Pool in Ngong,"
KSh 12,500,000
","
"," 3
"," 4
",Leilach Properties,27/06/2023,"
Fibre Internet
,
Walk In Closet
","
Balcony
,
Swimming Pool
,
Wheelchair Access
,
Garden
,
Parking
,
Gym
","
School
,
Scenic View
,
Hospital
,
Bus Stop
,
Shopping Centre
",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngong-1-3554790
